Entity,Year,cost_animal_food,cost_animal_food_share,cost_energy_sufficient_diet,cost_energy_sufficient_relative_expenditure,cost_fruits,cost_fruits_share,cost_healthy_diet,cost_healthy_relative_expenditure,cost_legumes,cost_legumes_share,cost_nutrient_sufficient_diet,cost_nutrient_sufficient_relative_expenditure,cost_oils,cost_oils_share,cost_staples,cost_staples_share,cost_veg,cost_veg_share,energy_sufficient_unaffordable_number,energy_sufficient_unaffordable_share,healthy_unaffordable_number,nutrition_sufficient_unaffordable_number,nutrition_sufficient_unaffordable_share
Philippines,2019,,,,,,,4.054,,,,,,,,,,,,,,74.2,,
Philippines,2020,,,,,,,4.108,,,,,,,,,,,,,,75.2,,
Poland,2017,0.584,0.201,0.39,0.051,0.651,0.224,2.909,0.381,0.377,0.13,1.925,0.252,0.09,0.031,0.318,0.109,0.89,0.306,0,0,0.4,0,0.1
Poland,2018,,,,,,,2.986,,,,,,,,,,,,,,0.5,,
Poland,2019,,,,,,,3.038,,,,,,,,,,,,,,0.3,,
Poland,2020,,,,,,,3.17,,,,,,,,,,,,,,0.4,,
Portugal,2017,0.583,0.232,0.412,0.046,0.687,0.273,2.513,0.278,0.275,0.109,1.835,0.203,0.078,0.031,0.271,0.108,0.62,0.247,0,0.1,0.1,0.1,0.7
Portugal,2018,,,,,,,2.596,,,,,,,,,,,,,,0.1,,
Portugal,2019,,,,,,,2.579,,,,,,,,,,,,,,0.1,,
Portugal,2020,,,,,,,2.656,,,,,,,,,,,,,,0.1,,
Qatar,2017,0.679,0.286,0.602,0.118,0.478,0.201,2.375,0.466,0.311,0.131,1.173,0.23,0.071,0.03,0.344,0.145,0.493,0.208,,,,,
Qatar,2018,,,,,,,2.426,,,,,,,,,,,,,,,,
Qatar,2019,,,,,,,2.484,,,,,,,,,,,,,,,,
Qatar,2020,,,,,,,2.577,,,,,,,,,,,,,,,,
Romania,2017,0.945,0.324,0.489,0.046,0.697,0.239,2.921,0.273,0.351,0.12,2.186,0.205,0.073,0.025,0.358,0.123,0.497,0.17,0.2,0.9,2.3,1.6,7.9
Romania,2018,,,,,,,2.957,,,,,,,,,,,,,,1.3,,
Romania,2019,,,,,,,3.01,,,,,,,,,,,,,,1.6,,
Romania,2020,,,,,,,3.191,,,,,,,,,,,,,,1.7,,
Russia,2017,0.98,0.311,0.606,0.066,0.745,0.237,3.149,0.343,0.191,0.061,2.215,0.241,0.135,0.043,0.36,0.114,0.739,0.235,0,0,5.7,1.4,1
Russia,2018,,,,,,,3.197,,,,,,,,,,,,,,5.3,,
Russia,2019,,,,,,,3.264,,,,,,,,,,,,,,4.4,,
Russia,2020,,,,,,,3.42,,,,,,,,,,,,,,5,,
Rwanda,2017,0.919,0.352,0.763,0.529,0.481,0.184,2.609,1.808,0.136,0.052,1.311,0.908,0.19,0.073,0.58,0.222,0.303,0.116,4.1,34.5,10.7,8,66.8
Rwanda,2018,,,,,,,2.483,,,,,,,,,,,,,,10.7,,
Rwanda,2019,,,,,,,2.537,,,,,,,,,,,,,,10.8,,
Rwanda,2020,,,,,,,2.698,,,,,,,,,,,,,,11.2,,
Saint Kitts and Nevis,2017,0.716,0.239,0.533,0.082,0.648,0.216,2.998,0.462,0.333,0.111,2.994,0.461,0.136,0.045,0.425,0.142,0.74,0.247,,,,,
Saint Kitts and Nevis,2018,,,,,,,3.179,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,2019,,,,,,,3.31,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,2020,,,,,,,3.405,,,,,,,,,,,,,,,,
Saint Lucia,2017,0.848,0.26,1.05,0.591,0.479,0.147,3.263,1.836,0.334,0.102,2.651,1.492,0.205,0.063,0.509,0.156,0.888,0.272,0,4.4,0,0,16.4
Saint Lucia,2018,,,,,,,3.399,,,,,,,,,,,,,,0,,
Saint Lucia,2019,,,,,,,3.517,,,,,,,,,,,,,,0,,
Saint Lucia,2020,,,,,,,3.594,,,,,,,,,,,,,,0,,
Saint Vincent and the Grenadines,2017,0.78,0.189,1.322,0.251,0.427,0.103,4.131,0.785,0.605,0.146,3.054,0.581,0.229,0.055,0.822,0.199,1.269,0.307,,,,,
Saint Vincent and the Grenadines,2018,,,,,,,4.232,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,2019,,,,,,,4.293,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,2020,,,,,,,4.454,,,,,,,,,,,,,,,,
Sao Tome and Principe,2017,1.015,0.309,0.896,0.191,0.241,0.073,3.288,0.702,0.392,0.119,2.569,0.548,0.117,0.036,0.477,0.145,1.046,0.318,0,16.3,0.2,0.2,75.7
Sao Tome and Principe,2018,,,,,,,3.394,,,,,,,,,,,,,,0.2,,
Sao Tome and Principe,2019,,,,,,,3.463,,,,,,,,,,,,,,0.2,,
Sao Tome and Principe,2020,,,,,,,3.551,,,,,,,,,,,,,,0.2,,
Saudi Arabia,2017,1.031,0.3,0.883,0.084,0.739,0.215,3.441,0.329,0.303,0.088,1.752,0.167,0.173,0.05,0.457,0.133,0.738,0.214,,,,,
Saudi Arabia,2018,,,,,,,3.663,,,,,,,,,,,,,,,,
Saudi Arabia,2019,,,,,,,3.888,,,,,,,,,,,,,,,,
Saudi Arabia,2020,,,,,,,4.148,,,,,,,,,,,,,,,,
Senegal,2017,0.377,0.172,0.745,0.23,0.422,0.193,2.19,0.677,0.124,0.057,1.858,0.574,0.19,0.087,0.401,0.183,0.677,0.309,0.5,3.2,8.2,6.5,42.3
Senegal,2018,,,,,,,2.25,,,,,,,,,,,,,,7.5,,
Senegal,2019,,,,,,,2.278,,,,,,,,,,,,,,7.4,,
Senegal,2020,,,,,,,2.33,,,,,,,,,,,,,,7.7,,
Serbia,2017,0.998,0.245,0.601,0.09,0.872,0.214,4.07,0.608,0.612,0.15,2.669,0.398,0.096,0.024,0.572,0.141,0.92,0.226,0.2,3.2,2,1.1,15.2
Serbia,2018,,,,,,,4.149,,,,,,,,,,,,,,1,,
Serbia,2019,,,,,,,4.174,,,,,,,,,,,,,,1.1,,
Serbia,2020,,,,,,,4.246,,,,,,,,,,,,,,1.1,,
Seychelles,2017,1.088,0.271,0.634,0.128,0.476,0.119,4.01,0.807,0.875,0.218,2.169,0.437,0.095,0.024,0.381,0.095,1.094,0.273,0,0.1,0,0,2.5
Seychelles,2018,,,,,,,3.965,,,,,,,,,,,,,,0,,
Seychelles,2019,,,,,,,3.923,,,,,,,,,,,,,,0,,
Seychelles,2020,,,,,,,3.801,,,,,,,,,,,,,,0,,
Sierra Leone,2017,0.754,0.265,1.243,0.579,0.298,0.105,2.842,1.323,0.257,0.09,2.201,1.025,0.122,0.043,0.655,0.23,0.756,0.266,4.1,54.4,6.8,6.3,84.4
Sierra Leone,2018,,,,,,,2.952,,,,,,,,,,,,,,7,,
Sierra Leone,2019,,,,,,,2.847,,,,,,,,,,,,,,7,,
Sierra Leone,2020,,,,,,,2.893,,,,,,,,,,,,,,7.1,,
Singapore,2017,0.611,0.22,0.751,0.148,0.615,0.222,2.775,0.548,0.324,0.117,2.024,0.4,0.102,0.037,0.519,0.187,0.605,0.218,,,,,
Singapore,2018,,,,,,,2.867,,,,,,,,,,,,,,,,
Singapore,2019,,,,,,,2.936,,,,,,,,,,,,,,,,
Singapore,2020,,,,,,,3.064,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),2017,0.864,0.194,2.251,0.42,0.905,0.203,4.462,0.833,0.328,0.074,3.944,0.737,0.195,0.044,1.26,0.282,0.91,0.204,,,,,
Sint Maarten (Dutch part),2018,,,,,,,4.73,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),2019,,,,,,,4.77,,,,,,,,,,,,,,,,
Sint Maarten (Dutch part),2020,,,,,,,5.36,,,,,,,,,,,,,,,,
Slovakia,2017,0.667,0.221,0.363,0.052,0.634,0.21,3.013,0.434,0.311,0.103,1.977,0.285,0.077,0.026,0.35,0.116,0.974,0.323,0,0.1,0.1,0.1,1.3
Slovakia,2018,,,,,,,3.102,,,,,,,,,,,,,,0.1,,
Slovakia,2019,,,,,,,3.105,,,,,,,,,,,,,,0.1,,
Slovakia,2020,,,,,,,3.15,,,,,,,,,,,,,,0.1,,
Slovenia,2017,0.698,0.249,0.434,0.061,0.669,0.239,2.798,0.394,0.346,0.124,2.015,0.284,0.072,0.026,0.29,0.104,0.722,0.258,0,0,0,0,0
Slovenia,2018,,,,,,,2.902,,,,,,,,,,,,,,0,,
Slovenia,2019,,,,,,,2.916,,,,,,,,,,,,,,0,,
Slovenia,2020,,,,,,,3.07,,,,,,,,,,,,,,0,,
South Africa,2017,1.059,0.258,1.265,0.293,0.727,0.177,4.102,0.95,0.852,0.208,3.407,0.789,0.129,0.031,0.633,0.154,0.702,0.171,13.7,24,37.2,34.3,60.1
South Africa,2018,,,,,,,4.146,,,,,,,,,,,,,,37.5,,
South Africa,2019,,,,,,,4.198,,,,,,,,,,,,,,38,,
South Africa,2020,,,,,,,4.298,,,,,,,,,,,,,,38.7,,
South Asia,2017,1.076,,0.804,,0.842,,3.558,,0.318,,2.328,,0.172,,0.422,,0.729,,32.1,1.8,1327.5,951.4,54.2
South Asia,2018,,,,,,,3.61,,,,,,,,,,,,,,1289.4,,
South Asia,2019,,,,,,,3.661,,,,,,,,,,,,,,1278.4,,
South Asia,2020,,,,,,,3.842,,,,,,,,,,,,,,1314.4,,
South Korea,2017,1.188,0.252,0.669,0.129,1.331,0.282,4.712,0.908,0.365,0.077,4.242,0.817,0.078,0.017,0.485,0.103,1.265,0.268,0,0,0.9,0.8,1.5
South Korea,2018,,,,,,,4.9,,,,,,,,,,,,,,0.9,,
South Korea,2019,,,,,,,4.8,,,,,,,,,,,,,,0.8,,
South Korea,2020,,,,,,,5.183,,,,,,,,,,,,,,0.9,,
Spain,2017,0.623,0.231,0.438,0.06,0.796,0.295,2.699,0.371,0.211,0.078,1.752,0.241,0.053,0.02,0.278,0.103,0.739,0.274,0.2,0.5,0.9,0.5,1.1
Spain,2018,,,,,,,2.741,,,,,,,,,,,,,,1,,
Spain,2019,,,,,,,2.744,,,,,,,,,,,,,,0.9,,
Spain,2020,,,,,,,2.838,,,,,,,,,,,,,,0.9,,
Sri Lanka,2017,0.999,0.27,0.972,0.176,0.899,0.243,3.702,0.671,0.192,0.052,2.228,0.404,0.321,0.087,0.493,0.133,0.799,0.216,0.1,0.4,11.2,4.2,19.4
Sri Lanka,2018,,,,,,,3.705,,,,,,,,,,,,,,10.6,,
Sri Lanka,2019,,,,,,,3.667,,,,,,,,,,,,,,9.9,,
Sri Lanka,2020,,,,,,,3.923,,,,,,,,,,,,,,10.7,,
Sub-Saharan Africa,2017,0.934,,0.871,,0.542,,3.249,,0.256,,2.228,,0.146,,0.528,,0.843,,301.3,29.8,872.2,730.5,72.2
Sub-Saharan Africa,2018,,,,,,,3.253,,,,,,,,,,,,,,884.5,,
Sub-Saharan Africa,2019,,,,,,,3.381,,,,,,,,,,,,,,906.6,,
Sub-Saharan Africa,2020,,,,,,,3.474,,,,,,,,,,,,,,933.8,,
Sudan,2017,1.203,0.327,1.079,0.242,0.48,0.131,3.674,0.824,0.509,0.139,2.089,0.468,0.211,0.057,0.547,0.149,0.723,0.197,5.2,12.7,35.2,22.2,54.4
Sudan,2018,,,,,,,3.921,,,,,,,,,,,,,,37.3,,
Sudan,2019,,,,,,,4.306,,,,,,,,,,,,,,39.4,,
Sudan,2020,,,,,,,4.308,,,,,,,,,,,,,,40.3,,
Suriname,2017,1.412,0.284,1.142,0.139,0.8,0.161,4.969,0.604,0.78,0.157,3.386,0.412,0.136,0.027,0.585,0.118,1.256,0.253,0.1,17.9,0.3,0.2,40.9
Suriname,2018,,,,,,,5.223,,,,,,,,,,,,,,0.3,,
Suriname,2019,,,,,,,5.336,,,,,,,,,,,,,,0.3,,
Suriname,2020,,,,,,,5.739,,,,,,,,,,,,,,0.3,,
Sweden,2017,0.644,0.209,0.8,0.108,0.773,0.25,3.086,0.417,0.347,0.112,2.434,0.329,0.085,0.028,0.47,0.152,0.766,0.248,0,0.2,0.1,0,0.3
Sweden,2018,,,,,,,3.164,,,,,,,,,,,,,,0.1,,
Sweden,2019,,,,,,,3.154,,,,,,,,,,,,,,0.1,,
Sweden,2020,,,,,,,3.339,,,,,,,,,,,,,,0.1,,
Switzerland,2017,0.675,0.268,0.418,0.055,0.577,0.229,2.523,0.333,0.249,0.099,2.101,0.278,0.067,0.027,0.212,0.084,0.743,0.294,0,0,0,0,0
Switzerland,2018,,,,,,,2.591,,,,,,,,,,,,,,0,,
Switzerland,2019,,,,,,,2.563,,,,,,,,,,,,,,0,,
Switzerland,2020,,,,,,,2.659,,,,,,,,,,,,,,0,,
Taiwan,2017,0.911,0.228,1.459,0.156,0.75,0.188,3.99,0.427,0.475,0.119,2.996,0.32,0.134,0.034,0.857,0.215,0.863,0.216,0,0,0.1,0.1,0.2
Tajikistan,2017,0.823,0.272,0.912,0.362,0.628,0.207,3.027,1.203,0.439,0.145,2.345,0.932,0.16,0.053,0.552,0.182,0.425,0.14,0.2,1.7,3.8,2.3,26.5
Tajikistan,2018,,,,,,,3.119,,,,,,,,,,,,,,3.6,,
Tajikistan,2019,,,,,,,3.433,,,,,,,,,,,,,,3.9,,
Tajikistan,2020,,,,,,,3.48,,,,,,,,,,,,,,4,,
Tanzania,2017,0.657,0.253,0.994,0.374,0.518,0.199,2.598,0.976,0.208,0.08,1.944,0.731,0.155,0.06,0.557,0.214,0.504,0.194,24,43.9,48.5,43.6,79.7
Tanzania,2018,,,,,,,2.648,,,,,,,,,,,,,,49.8,,
Tanzania,2019,,,,,,,2.681,,,,,,,,,,,,,,50.7,,
Tanzania,2020,,,,,,,2.736,,,,,,,,,,,,,,52.3,,
Thailand,2017,0.942,0.237,1.047,0.173,0.786,0.198,3.971,0.656,0.488,0.123,2.883,0.476,0.114,0.029,0.896,0.226,0.746,0.188,0,0,12.1,3.9,5.6
Thailand,2018,,,,,,,4.042,,,,,,,,,,,,,,12.4,,
Thailand,2019,,,,,,,4.181,,,,,,,,,,,,,,11.1,,
Thailand,2020,,,,,,,4.321,,,,,,,,,,,,,,11.9,,
Togo,2017,,,1.939,1.44,,,,,,,2.31,1.716,,,,,,,,,,,
Trinidad and Tobago,2017,1.047,0.267,1.009,0.129,0.979,0.249,3.928,0.501,0.361,0.092,3.135,0.4,0.167,0.043,0.612,0.156,0.763,0.194,0,0.2,0.1,0.1,6.1
Trinidad and Tobago,2018,,,,,,,4.028,,,,,,,,,,,,,,0.1,,
Trinidad and Tobago,2019,,,,,,,4.083,,,,,,,,,,,,,,0.2,,
Trinidad and Tobago,2020,,,,,,,4.224,,,,,,,,,,,,,,0.2,,
Tunisia,2017,0.841,0.242,0.604,0.111,1.127,0.324,3.476,0.64,0.482,0.139,1.88,0.346,0.181,0.052,0.318,0.091,0.527,0.152,0,0,2.5,0.4,3.2
Tunisia,2018,,,,,,,3.559,,,,,,,,,,,,,,2.5,,
Tunisia,2019,,,,,,,3.628,,,,,,,,,,,,,,2.4,,
Tunisia,2020,,,,,,,3.639,,,,,,,,,,,,,,2.4,,
Turks and Caicos Islands,2017,0.645,0.23,1.128,0.317,0.556,0.198,2.809,0.79,0.296,0.105,2.453,0.69,0.117,0.042,0.532,0.189,0.663,0.236,,,,,
Turks and Caicos Islands,2018,,,,,,,2.897,,,,,,,,,,,,,,,,
Turks and Caicos Islands,2019,,,,,,,2.973,,,,,,,,,,,,,,,,
Turks and Caicos Islands,2020,,,,,,,3.095,,,,,,,,,,,,,,,,
Uganda,2017,0.853,0.31,0.648,0.426,0.494,0.18,2.749,1.807,0.196,0.071,1.8,1.183,0.184,0.067,0.495,0.18,0.528,0.192,5.9,14.2,34.9,28.5,69.3
Uganda,2018,,,,,,,2.712,,,,,,,,,,,,,,35.7,,
Uganda,2019,,,,,,,2.678,,,,,,,,,,,,,,36.6,,
Uganda,2020,,,,,,,2.658,,,,,,,,,,,,,,37.6,,
United Arab Emirates,2017,0.856,0.311,0.746,0.101,0.562,0.204,2.755,0.374,0.269,0.098,1.806,0.245,0.149,0.054,0.388,0.141,0.532,0.193,0,0,0,0,0
United Arab Emirates,2018,,,,,,,2.835,,,,,,,,,,,,,,0,,
United Arab Emirates,2019,,,,,,,2.902,,,,,,,,,,,,,,0,,
United Arab Emirates,2020,,,,,,,3.111,,,,,,,,,,,,,,0,,
United Kingdom,2017,0.494,0.271,0.263,0.049,0.533,0.293,1.822,0.341,0.195,0.107,1.526,0.285,0.053,0.029,0.147,0.081,0.399,0.219,0.1,0.1,0.3,0.3,0.4
United Kingdom,2018,,,,,,,1.873,,,,,,,,,,,,,,0.3,,
United Kingdom,2019,,,,,,,1.881,,,,,,,,,,,,,,0.3,,
United Kingdom,2020,,,,,,,1.912,,,,,,,,,,,,,,0.3,,
United States,2017,0.557,0.173,0.905,0.129,0.61,0.189,3.225,0.46,0.285,0.088,2.215,0.316,0.059,0.018,0.661,0.205,1.053,0.327,4.1,1.2,6.5,4.9,1.5
United States,2018,,,,,,,3.24,,,,,,,,,,,,,,5.7,,
United States,2019,,,,,,,3.268,,,,,,,,,,,,,,4.9,,
United States,2020,,,,,,,3.383,,,,,,,,,,,,,,4.9,,
Upper-middle income,2017,0.909,,0.87,,0.712,,3.524,,0.432,,2.627,,0.13,,0.54,,0.801,,28.7,1.2,401.2,257.7,10.6
Upper-middle income,2018,,,,,,,3.577,,,,,,,,,,,,,,355,,
Upper-middle income,2019,,,,,,,3.656,,,,,,,,,,,,,,337.2,,
Upper-middle income,2020,,,,,,,3.762,,,,,,,,,,,,,,374,,
Uruguay,2017,0.615,0.2,0.694,0.094,0.537,0.175,3.073,0.416,0.487,0.158,2.129,0.288,0.068,0.022,0.378,0.123,0.989,0.322,0,0,0.1,0,0.8
Uruguay,2018,,,,,,,3.17,,,,,,,,,,,,,,0.1,,
Uruguay,2019,,,,,,,3.254,,,,,,,,,,,,,,0.1,,
Uruguay,2020,,,,,,,3.414,,,,,,,,,,,,,,0.1,,
Vietnam,2017,1.183,0.33,0.975,0.286,0.556,0.155,3.586,1.052,0.305,0.085,2.514,0.737,0.189,0.053,0.582,0.162,0.771,0.215,1.2,1.3,30.7,15.1,15.9
Vietnam,2018,,,,,,,3.663,,,,,,,,,,,,,,28.1,,
Vietnam,2019,,,,,,,3.776,,,,,,,,,,,,,,25.8,,
Vietnam,2020,,,,,,,4.072,,,,,,,,,,,,,,29.2,,
World,2017,0.873,,0.834,,0.662,,3.314,,0.348,,2.457,,0.13,,0.508,,0.793,,381.2,5.4,3049.1,2212.2,31.1
World,2018,,,,,,,3.35,,,,,,,,,,,,,,2973.8,,
World,2019,,,,,,,3.425,,,,,,,,,,,,,,2961.9,,
World,2020,,,,,,,3.537,,,,,,,,,,,,,,3074.2,,
Zambia,2017,0.906,0.294,1.279,0.755,0.372,0.121,3.085,1.821,0.232,0.075,2.38,1.405,0.13,0.042,0.814,0.264,0.631,0.205,10.7,63.8,14.8,13.8,81.8
Zambia,2018,,,,,,,3.15,,,,,,,,,,,,,,15.2,,
Zambia,2019,,,,,,,3.245,,,,,,,,,,,,,,15.7,,
Zambia,2020,,,,,,,3.3,,,,,,,,,,,,,,16.2,,
Zimbabwe,2017,0.95,0.275,0.775,0.343,0.513,0.148,3.456,1.529,0.33,0.095,2.297,1.016,0.144,0.042,0.55,0.159,0.968,0.28,2.2,15.8,12,10.1,70.8
